Mean,Color,Period,Period_fit,Amplitude,Std,Autocorrelatio_ length,Beyond1Std,FluxPercentileRatioMid20,Meanvariance,MedianAbsDev,Rcs,Skew,SmallKurtosis
-8.018788618,-0.421316154,2544.906678,2.04E-37,0.0995,0.055139476,113.122548,0.341463415,0.215116279,-0.006876285,0.045,0.388986658,0.124966284,-0.757638013
-6.653139759,-0.564275946,1815.132129,1.78E-59,0.11175,0.068217192,197.525174,0.298795181,0.178743961,-0.010253383,0.047,0.390333118,0.61115598,-0.76801908
-6.994082586,-0.251863435,2036.866294,7.36E-99,0.17575,0.083601466,0.030717,0.230473752,0.123505976,-0.011953171,0.044,0.23660381,1.506290094,4.721327544
-6.803072423,-0.304112083,2544.906678,1.07E-24,0.0745,0.039398617,24.090913,0.334261838,0.142857143,-0.005791298,0.03,0.306378053,0.198752181,-0.168216495
-6.394094319,-0.168933349,5249.594606,4.99E-98,0.1145,0.06334605,14.62201,0.341907824,0.191709845,-0.009906962,0.046,0.310732864,-0.260018981,-0.399756883
-5.732412844,0.119377597,562.5221981,6.12E-17,0.125,0.063039555,0.307592,0.269724771,0.14973262,-0.010997037,0.0365,0.133210551,0.076395074,3.307687937
-5.452626836,-0.395484684,1.002493911,2.56E-10,0.252,0.121829809,0.429005,0.24877571,0.121693122,-0.022343324,0.065,0.072555283,-0.840056425,2.554939319
-5.964355895,-0.39269338,2316.776835,2.24E-94,0.1965,0.091973894,0.308295,0.264919942,0.117263844,-0.015420591,0.052,0.289511798,-0.398781116,1.081353937
-6.965948164,-0.388985201,2249.82626,2.09E-55,0.08,0.044593333,0.656217,0.332613391,0.201438849,-0.006401617,0.034,0.302691169,0.059740727,-0.312596446
-6.829451957,-0.501966346,3053.91086,5.22E-21,0.123,0.058671581,1.182871,0.274021352,0.088669951,-0.008590965,0.028,0.311429451,-0.476359724,1.11552945
-6.953419608,-0.419152941,2690.778137,2.60E-109,0.103,0.05588732,139.59114,0.27254902,0.192982456,-0.008037386,0.038,0.347610106,0.71014692,1.248486792
-7.678661055,0.105165824,1577.257965,5.04E-100,0.06375,0.036609101,0.4378,0.34006734,0.223214286,-0.004767641,0.029,0.384771844,-0.174671487,0.193623145
-6.681160584,-0.066510366,2306.407332,6.65E-67,0.213,0.099634103,69.301275,0.287799791,0.119883041,-0.014912694,0.061,0.282819459,-0.376147073,0.469744511
-6.952951338,-0.425068526,2333.741309,1.52E-42,0.10675,0.06250709,188.361635,0.309002433,0.127659574,-0.008990008,0.032,0.397821044,0.815214421,-0.287331917
-7.257595289,-0.47856979,2624.797303,1.81E-132,0.131,0.076082685,0.1936,0.413276231,0.1375,-0.010483181,0.048,0.38662979,-0.485272099,-0.702031999
-7.641010352,-0.276211619,1970.376944,2.54E-177,0.12275,0.065606618,0.291998,0.327812284,0.162679426,-0.008586118,0.044,0.342811414,0.30778594,-0.141012323
-6.13223324,-0.380193882,3267.393167,9.36E-56,0.1625,0.086253767,95.84003,0.268156425,0.147169811,-0.014065637,0.048,0.351082466,0.728094043,0.314896634
-7.216490541,-0.191991252,2329.567094,3.49E-81,0.0865,0.049955939,293.619001,0.336486486,0.152317881,-0.00692247,0.034,0.355864105,0.429679031,0.428402884
-8.140353312,-0.381476842,3004.640388,4.27E-54,0.1225,0.072427325,301.191006,0.378548896,0.096491228,-0.00889732,0.049,0.419758485,-0.609541012,-0.624351592
-6.627601053,-0.281022598,16036.73813,1.21E-121,0.15,0.08174144,0.288334,0.255789474,0.144444444,-0.012333488,0.049,0.34352949,0.616239098,0.645535956
-6.808910053,-0.497348649,2712.707928,2.35E-72,0.1025,0.053886431,35.47314,0.245502646,0.131428571,-0.007914105,0.028,0.329324487,0.73663026,1.522741661
-8.14356584,-0.390857786,2327.848035,3.19E-128,0.12775,0.066578639,1.505604,0.255725191,0.116591928,-0.008175613,0.0345,0.356490658,0.857610867,0.394466088
-7.374641026,-0.191851071,1484.609419,2.02E-44,0.072,0.041597884,133.856096,0.344017094,0.216,-0.005640666,0.0315,0.3302638,0.151981043,-0.210730236
-7.310675127,-0.350365473,2046.517187,2.95E-78,0.098,0.05669513,299.680812,0.406091371,0.150837989,-0.007755116,0.045,0.375373973,-0.137111395,-0.857521657
